,img_path,caption
0,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000199165.jpg,A bus on a city street waiting for passengers.
1,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000199165.jpg,A passenger bus that has pulled up to the curb of a street.
2,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000199165.jpg,"A red, white and blue buss on the side of a road next to a gravel sidewalk."
3,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000199165.jpg,a public transit bus on a city street with trees in the background
4,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000199165.jpg,A large bus travelling down a paved road.
5,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000145573.jpg,An orange and blue fire hydrant sitting on a sidewalk.
6,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000145573.jpg,The fire hydrant is across the street from a large building.
7,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000145573.jpg,Lone fire hydrant in foreground of official building.
8,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000145573.jpg,A fire hydrant on the side walk across a street from a brick building.
9,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000145573.jpg,A fire hydrant and a building across the street.
10,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000414607.jpg,Adult grey cat lying on books in wooden bookshelf.
11,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000414607.jpg,A cat that is laying down on books.
12,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000414607.jpg,A cat laying on top of a shelf of books.
13,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000414607.jpg,A very cute cat laying on some books on a shelf.
14,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000414607.jpg,a cat is laying on top of some books on a shelf
15,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000306451.jpg,A traffic jam is on a large freeway.
16,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000306451.jpg,A crowded highway with cars trying to merge
17,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000306451.jpg,A busy street with busses and cars merging together.
18,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000306451.jpg,A highway off ramp that is merging into a single lane.
19,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000306451.jpg,Traffic trying to merge onto the highway from two busy on ramps.
20,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000521823.jpg,a couple of men stand next to each other 
21,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000521823.jpg,A pair of men holding up a tile wall by a barn.
22,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000521823.jpg,A couple of people standing near some cows.
23,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000521823.jpg,Two men are holding up a solar panel.
24,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000521823.jpg,A couple of men standing behind a blue tile wall.
25,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000375881.jpg,A young child wearing a paper yellow tie.
26,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000375881.jpg,A boy with a paper tie sitting in a chair.
27,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000375881.jpg,A young person is wearing a yellow tie that he made from construction paper and colored it with crayons.
28,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000375881.jpg, A small child is looking away and wearing a paper collar and tie.
29,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000375881.jpg,A little boy is wearing a yellow paper tie.
30,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000031090.jpg,A cat is lying in a persons lap
31,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000031090.jpg,an image of a cat resting on its owners lap
32,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000031090.jpg,A small cat sits with its owner on a laptop.
33,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000031090.jpg,A cat is curled up at the base of a laptop computer.
34,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000031090.jpg,The cat is curled up on the man's lap.
35,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000011227.jpg,A young girl surfing a small wave in the ocean.
36,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000011227.jpg,A girl on a surfboard near the shore 
37,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000011227.jpg,"A  girl riding a surfboard on the water, in a black and white photo."
38,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000011227.jpg,A little girl riding her surfboard on an ocean wave.
39,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000011227.jpg,Young girl on a wave composing herself on board.
40,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000338321.jpg,A illuminated clock inside of a train station.
41,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000338321.jpg,A clock in a train station at an information booth.
42,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000338321.jpg,A dimly lit train station has a large glowing clock.
43,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000338321.jpg,A golden clock erected above service windows inside of a building.
44,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000338321.jpg,Large golden clock illuminated inside a building center. 
45,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000208629.jpg,A woman on a cell phone next to some scooters and motor cycles.
46,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000208629.jpg,A lady standing in front of a few scooters trying to hear her phone.
47,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000208629.jpg,This woman is talking on her cell phone near several motorcycles.
48,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000208629.jpg,A woman talking on cell phone with four motorcycles outside
49,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000208629.jpg,A woman standing near parked motorcycles while using a cell phone. 
50,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000050592.jpg,It is a bathroom with a sink toilet and door.
51,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000050592.jpg,This is a bathroom with a mosaic floor and a wooden door.
52,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000050592.jpg,A bathroom shot inside of a bathroom 
53,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000050592.jpg,A wooden door in a bathroom with a sink and toilet and a tile floor.
54,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000050592.jpg,a bathroom with a nice wooded door that is attached
55,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000272615.jpg,"Bowls of fresh salad, soup, pudding and rice"
56,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000272615.jpg,"A round container of soup, fruit, meat and salad."
57,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000272615.jpg,A collection of four bowls ov various food sit on a table.
58,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000272615.jpg,An assortment of different dishes nicely arranged on a dining table.
59,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000272615.jpg,four bowls containing different types of food in them 
60,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000359184.jpg,A street sign on top of two one way arrow signs.
61,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000359184.jpg,A light pole has four street signs at an intersection.
62,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000359184.jpg,A street pole is loaded with different signs.
63,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000359184.jpg,a group of street signs on a pole next to some trees
64,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000359184.jpg,Several street signs hand on a pole as a brick building stands in the back ground near some trees.
65,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000455615.jpg,A man stares off into the distance with a frisbee in hand.
66,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000455615.jpg,A man standing on a wave covered beach holding an orange frisbee.
67,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000455615.jpg,A man with a frisbee is standing with his feet in the water. 
68,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000455615.jpg,A man is standing in the water with a frisbee
69,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000455615.jpg,Man with orange disc standing in water near ocean beach.
70,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000489203.jpg,A red rug on the floor in a small room.
71,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000489203.jpg,"A room with a red rug, desk, and a person sitting on a bed with their laptop. "
72,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000489203.jpg,"A room with a desk, rug, chair and laptop. "
73,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000489203.jpg,The rug is sitting beside the crowded desk.
74,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000489203.jpg,"A living area with couch, laptop, desk and rug."
75,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000508678.jpg,A man and his dog on a boat in the ocean.
76,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000508678.jpg,A fisherman is looking for his next catch with his dog.
77,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000508678.jpg,A dog riding in a blue boat on a body of water.
78,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000508678.jpg,A man and a dog in a blue motor boat.
79,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000508678.jpg,A person and a dog on a motor boat in the water.
80,/bigtemp/as3ek/p/vlinfo/datasets/coco/train2017/000000552354.jpg,A young boy eating food next to a little girl.
